,,,,,
,,,,,
,World Values Survey Wave 5: 2005-2009,,,,
,Feeling of happiness,,,,
,,,,,
 ,TOTAL,Country/Region,,,
,,China,Rwanda,Trinidad and Tobago,United States
Very happy,26.1,18.8,11.9,51.7,34.4
Quite happy,58.2,58,73.5,35.1,58.8
Not very happy,13.2,19,12,11.6,6.4
Not at all happy,2.2,3.5,2.4,1.7,0.4
No answer,0.1,0.1,0.3,0,0
Don«t know,0.2,0.6,0,0,0
(N),5.749,1.991,1.507,1.002,1.249
