V1,V2,V3
359.8916,-10.2203,-5404
359.9083,-10.2203,-5410
359.925,-10.2203,-5438
359.9417,-10.2203,-5476
359.9583,-10.2203,-5516
359.975,-10.2203,-5550
359.9916,-10.2203,-5572
359.5083,-10.2367,-5642
359.525,-10.2367,-5622
359.5417,-10.2367,-5582
359.5583,-10.2367,-5528
359.575,-10.2367,-5478
359.5916,-10.2367,-5444
359.6083,-10.2367,-5436
359.625,-10.2367,-5452
359.6416,-10.2367,-5478
359.6583,-10.2367,-5504
359.675,-10.2367,-5514
359.6917,-10.2367,-5512
359.7083,-10.2367,-5498
359.725,-10.2367,-5490
359.7416,-10.2367,-5494
359.7583,-10.2367,-5514
359.775,-10.2367,-5540
359.7917,-10.2367,-5564
359.8083,-10.2367,-5566
359.825,-10.2367,-5548
359.8416,-10.2367,-5510
359.8583,-10.2367,-5464
359.875,-10.2367,-5424
359.8916,-10.2367,-5401
359.9083,-10.2367,-5414
359.925,-10.2367,-5444
359.9417,-10.2367,-5478
359.9583,-10.2367,-5512
359.975,-10.2367,-5544
359.9916,-10.2367,-5568
359.5083,-10.2531,-5672
359.525,-10.2531,-5654
359.5417,-10.2531,-5608
359.5583,-10.2531,-5552
359.575,-10.2531,-5496
359.5916,-10.2531,-5454
359.6083,-10.2531,-5438
359.625,-10.2531,-5452
359.6416,-10.2531,-5480
359.6583,-10.2531,-5508
359.675,-10.2531,-5526
359.6917,-10.2531,-5530
359.7083,-10.2531,-5518
359.725,-10.2531,-5508
359.7416,-10.2531,-5504
359.7583,-10.2531,-5512
359.775,-10.2531,-5524
359.7917,-10.2531,-5536
359.8083,-10.2531,-5534
359.825,-10.2531,-5512
359.8416,-10.2531,-5478
359.8583,-10.2531,-5440
359.875,-10.2531,-5414
359.8916,-10.2531,-5406
359.9083,-10.2531,-5424
359.925,-10.2531,-5452
359.9417,-10.2531,-5482
359.9583,-10.2531,-5514
359.975,-10.2531,-5542
359.9916,-10.2531,-5570
359.5083,-10.2695,-5710
359.525,-10.2695,-5692
359.5417,-10.2695,-5644
359.5583,-10.2695,-5582
359.575,-10.2695,-5520
359.5916,-10.2695,-5474
359.6083,-10.2695,-5448
359.625,-10.2695,-5456
359.6416,-10.2695,-5482
359.6583,-10.2695,-5516
359.675,-10.2695,-5542
359.6917,-10.2695,-5548
359.7083,-10.2695,-5536
359.725,-10.2695,-5522
359.7416,-10.2695,-5512
359.7583,-10.2695,-5508
359.775,-10.2695,-5508
359.7917,-10.2695,-5508
359.8083,-10.2695,-5496
359.825,-10.2695,-5476
359.8416,-10.2695,-5446
359.8583,-10.2695,-5414
359.875,-10.2695,-5397
359.8916,-10.2695,-5408
359.9083,-10.2695,-5432
359.925,-10.2695,-5460
359.9417,-10.2695,-5488
359.9583,-10.2695,-5518
359.975,-10.2695,-5548
359.9916,-10.2695,-5578
359.5083,-10.2859,-5750
359.525,-10.2859,-5730
359.5417,-10.2859,-5680
359.5583,-10.2859,-5614
359.575,-10.2859,-5546
359.5916,-10.2859,-5490
359.6083,-10.2859,-5458
359.625,-10.2859,-5460
359.6416,-10.2859,-5488
359.6583,-10.2859,-5522
359.675,-10.2859,-5550
359.6917,-10.2859,-5558
359.7083,-10.2859,-5552
359.725,-10.2859,-5538
359.7416,-10.2859,-5518
359.7583,-10.2859,-5504
359.775,-10.2859,-5492
359.7917,-10.2859,-5480
359.8083,-10.2859,-5464
359.825,-10.2859,-5444
359.8416,-10.2859,-5416
359.8583,-10.2859,-5393
359.875,-10.2859,-5394
359.8916,-10.2859,-5414
359.9083,-10.2859,-5440
359.925,-10.2859,-5468
359.9417,-10.2859,-5498
359.9583,-10.2859,-5528
359.975,-10.2859,-5556
359.9916,-10.2859,-5588
359.5083,-10.3023,-5784
359.525,-10.3023,-5762
359.5417,-10.3023,-5712
359.5583,-10.3023,-5644
359.575,-10.3023,-5568
359.5916,-10.3023,-5506
359.6083,-10.3023,-5464
359.625,-10.3023,-5458
359.6416,-10.3023,-5482
359.6583,-10.3023,-5518
359.675,-10.3023,-5550
359.6917,-10.3023,-5566
359.7083,-10.3023,-5562
359.725,-10.3023,-5548
359.7416,-10.3023,-5526
359.7583,-10.3023,-5502
359.775,-10.3023,-5482
359.7917,-10.3023,-5460
359.8083,-10.3023,-5440
359.825,-10.3023,-5420
359.8416,-10.3023,-5404
359.8583,-10.3023,-5394
359.875,-10.3023,-5404
359.8916,-10.3023,-5426
359.9083,-10.3023,-5456
359.925,-10.3023,-5484
359.9417,-10.3023,-5514
359.9583,-10.3023,-5544
359.975,-10.3023,-5574
359.9916,-10.3023,-5600
359.5083,-10.3187,-5810
359.525,-10.3187,-5788
359.5417,-10.3187,-5734
359.5583,-10.3187,-5662
359.575,-10.3187,-5582
359.5916,-10.3187,-5514
359.6083,-10.3187,-5464
359.625,-10.3187,-5450
359.6416,-10.3187,-5472
359.6583,-10.3187,-5506
359.675,-10.3187,-5542
359.6917,-10.3187,-5564
359.7083,-10.3187,-5566
359.725,-10.3187,-5554
359.7416,-10.3187,-5532
359.7583,-10.3187,-5504
359.775,-10.3187,-5476
359.7917,-10.3187,-5450
359.8083,-10.3187,-5426
359.825,-10.3187,-5406
359.8416,-10.3187,-5401
359.8583,-10.3187,-5404
359.875,-10.3187,-5420
359.8916,-10.3187,-5446
359.9083,-10.3187,-5476
359.925,-10.3187,-5508
359.9417,-10.3187,-5538
359.9583,-10.3187,-5566
359.975,-10.3187,-5590
359.9916,-10.3187,-5608
359.5083,-10.3351,-5820
359.525,-10.3351,-5798
359.5417,-10.3351,-5742
359.5583,-10.3351,-5668
359.575,-10.3351,-5590
359.5916,-10.3351,-5518
359.6083,-10.3351,-5464
359.625,-10.3351,-5442
359.6416,-10.3351,-5458
