Latitude,Longitude,2010,1990,1970
32.02,112.16,"1,531",554,179
34.32,108.71,"1,019",317,200
37.98,101.77,"1,185",592,321
35.3,113.89,"1,016",450,291
34.26,117.18,"2,144",781,557
33.34,120.15,"1,290",392,134
32.38,119.43,"1,566",541,247
37.46,121.44,"1,526",422,216
30.7,111.28,980,492,183
38.45,106.27,"1,052",384,163
40.69,122.29,849,458,218
29.31,120.08,735,114,19
28.57,112.35,819,191,117
29.36,113.11,"1,155",305,68
34.85,117.55,"1,175",303,198
40.81,114.88,"1,043",558,343
21.26,110.33,"1,014",486,272
34.75,113.63,"3,796","1,134",508
32.19,119.45,"1,008",328,235
22.31,113.23,"2,695",393,147
22.27,113.53,"1,359",220,17
27.83,113.15,"1,025",430,215
36.81,118.05,"2,456",777,357
29.34,104.77,946,368,264
27.72,106.92,844,250,134
22.25,114.16,"7,053","5,766","3,472"
11,-74.8,"1,867","1,229",691
4.63,-74.08,"8,502","4,740","2,383"
7.13,-73.12,"1,092",650,325
3.45,-76.51,"2,402","1,552",851
10.4,-75.5,963,561,274
7.91,-72.51,775,506,206
6.25,-75.58,"3,595","2,135","1,260"
-4.25,15.26,"1,557",704,238
-4.79,11.85,807,363,116
9.93,-84.08,"1,466",737,359
5.32,-4.03,"4,151","2,102",548
6.82,-5.28,885,136,17
23.13,-82.36,"2,128","2,108","1,779"
50.08,14.43,"1,265","1,212","1,076"
39.02,125.75,"2,834","2,526",987
-5.83,22.43,846,348,424
-4.3,15.3,"8,415","3,520","1,070"
0.55,25.23,783,358,235
-11.68,27.48,"1,486",647,325
-6.15,23.6,"1,433",573,262
55.71,12.56,"1,192","1,035","1,380"
18.47,-69.9,"2,154","1,522",687
-2.17,-79.9,"2,273","1,572",719
-0.22,-78.5,"1,598","1,088",501
31.2,29.92,"4,400","3,063","1,987"
30.05,31.25,"11,031","9,061","5,585"
13.69,-89.19,"1,570",970,500
9.03,38.7,"2,919","1,791",729
60.17,24.94,"1,122",871,507
44.83,-0.57,841,698,584
50.63,3.07,"1,034",961,906
45.75,4.85,"1,471","1,265","1,116"
49.56,1.96,"1,472","1,305","1,182"
43.7,7.25,980,854,637
48.87,2.33,"10,516","9,330","8,208"
43.6,1.43,917,654,467
41.72,44.78,"1,117","1,224",897
52.52,13.38,"3,450","3,422","3,206"
53.55,10,"1,786","1,639","1,792"
50.95,6.97,"1,002",950,849
48.13,11.58,"1,350","1,218","1,294"
5.55,-0.22,"2,469","1,197",631
6.75,-1.58,"1,935",696,349
37.98,23.73,"3,382","3,070","2,485"
40.64,22.95,872,746,542
14.63,-90.52,"1,128",803,660
9.51,-13.71,"1,715",895,388
18.54,-72.34,"2,143","1,134",460
14.1,-87.22,"1,051",578,223
47.5,19.08,"1,731","2,005","1,946"
27.18,78.02,"1,714",933,624
23.03,72.62,"6,210","3,255","1,695"
27.84,78.08,891,468,247
25.45,81.85,"1,205",830,506
31.58,74.93,"1,171",726,453
23.68,86.98,"1,232",727,235
19.86,75.36,"1,167",568,159
12.98,77.58,"8,275","4,036","1,615"
28.35,79.42,961,604,322
23.27,77.4,"1,851","1,046",370
20.26,85.83,865,395,98
30.74,76.79,"1,010",564,219
13.08,80.3,"8,523","5,338","3,057"
11,76.97,"2,095","1,088",710
28.67,77.22,"21,935","9,726","3,531"
23.8,86.45,"1,186",805,410
21.2,81.28,"1,054",670,234
26.18,91.75,957,564,195
26.22,78.18,"1,084",706,397
15.46,75.01,932,639,367
17.38,78.47,"7,578","4,193","1,748"
22.72,75.83,"2,127","1,088",546
23.17,79.95,"1,257",879,520
26.92,75.82,"3,017","1,478",616
31.33,75.58,862,502,290
22.8,86.18,"1,320",817,445
26.29,73.03,"1,116",654,310
26.47,80.35,"2,904","2,001","1,250"
10.02,76.23,"1,592","1,103",424
22.5,88.33,"14,283","10,890","6,926"
25.11,75.79,978,523,204
11.25,75.77,961,781,324
26.85,80.92,"2,854","1,614",801
30.9,75.85,"1,598","1,006",387
9.93,78.12,"1,443","1,073",692
28.98,77.7,"1,406",824,361
28.83,78.78,871,436,266
18.93,72.85,"19,422","12,436","5,811"
12.31,76.65,969,640,347
21.15,79.1,"2,471","1,637",910
19.98,73.8,"1,531",700,267
25.6,85.12,"2,022","1,087",480
18.53,73.87,"4,951","2,430","1,105"
21.2,81.66,"1,088",453,200
22.3,70.78,"1,361",638,291
23.35,85.33,"1,107",607,244
11.65,78.15,907,574,404
17.68,75.92,946,613,393
34.08,74.82,"1,251",730,412
21.17,72.83,"4,438","1,468",477
8.48,76.92,952,801,394
10.82,78.68,"1,009",705,454
11.1,77.35,927,299,146
22.3,73.2,"1,794","1,096",453
25.33,83,"1,419","1,013",597
16.52,80.62,"1,453",821,335
17.7,83.3,"1,700","1,018",349
18,79.58,746,457,203
-5.45,105.27,884,454,150
-6.9,107.58,"2,399","2,035","1,170"
1.25,104.03,957,78,4
-6.59,106.79,954,596,300
-8.65,115.22,797,205,51
-6.13,106.75,"9,630","8,175","3,915"
-7.98,112.62,822,689,411
3.58,98.67,"2,100","1,718",614
-0.95,100.36,836,626,189
-2.92,104.75,"1,455","1,130",568
0.53,101.45,906,389,117
-0.5,117.15,732,402,126
-6.97,110.42,"1,558","1,243",627
-7.25,112.75,"2,768","2,467","1,474"
-5.13,119.41,"1,345",816,418
31.33,48.69,"1,061",685,246
32.68,51.68,"1,743","1,090",498
35.8,50.97,"1,584",753,67
34.32,47.07,838,608,220
36.26,59.56,"2,653","1,680",489
34.65,50.95,"1,043",644,168
29.62,52.54,"1,300",935,319
38.08,46.3,"1,484","1,058",466
35.67,51.42,"7,243","6,365","3,290"
30.5,47.83,923,474,329
36.34,43.12,"1,447",736,322
33.34,44.39,"5,891","4,092","2,070"
36.19,44.01,"1,009",536,130
31.98,44.33,754,351,162
35.56,45.44,836,402,118
53.33,-6.25,"1,102",916,771
32.82,34.99,"1,044",660,321
31.78,35.22,778,527,282
32.07,34.76,"3,319","2,053","1,029"
45.7,9.67,774,648,555
45.48,9.19,"2,916","3,063","3,017"
40.85,14.27,"2,348","2,208","2,000"
38.12,13.36,904,844,751
41.89,12.5,"3,306","3,450","3,135"
45.08,7.68,"1,620","1,775","1,760"
33.5,130.5,"2,845","2,487","1,651"
34.4,132.45,"2,103","1,986","1,379"
35,135.75,"1,804","1,760","1,298"
35.17,136.92,"3,300","2,947","1,997"
34.67,135.5,"11,430","11,035","9,408"
43.05,141.35,"2,714","2,319","1,479"
38.26,140.89,"2,401","2,021","1,264"
35.69,139.75,"36,933","32,530","23,298"
31.95,35.93,"1,150",851,388
43.32,76.92,"1,400","1,080",740
-4.05,39.67,940,476,254
-1.28,36.82,"3,237","1,380",531
29.33,47.98,"2,318","1,392",553
42.87,74.57,831,635,433
17.96,102.6,766,283,143
33.87,35.51,"1,983","1,293",923
6.31,-10.8,812,"1,042",164
32.89,13.18,"1,111",862,398
-18.92,47.52,"1,900",948,363
-13.98,33.78,738,266,34
1.47,103.75,"1,002",417,136
3.03,101.45,"1,132",345,113
