"","discom","timeslots","days","date","mW","timepoint","Average mW"
"1","BRPL","15:45 - 16:00",41092,"7/2/12",2366,64,1270
"2","BYPL","15:45 - 16:00",41092,"7/2/12",1257,64,729
"3","MES","15:45 - 16:00",41092,"7/2/12",42,64,25
"4","NDMC","15:45 - 16:00",41092,"7/2/12",345,64,157
"5","NDPL","15:45 - 16:00",41092,"7/2/12",1397,64,870
"6","Total","15:45 - 16:00",41092,"7/2/12",5408,64,3050
