"","discom","timeslots","days","date","mW","timepoint","Average"
"1","BRPL","16:00 - 16:15",40718,"6/24/11",2043,65,1233
"2","BYPL","15:45 - 16:00",40717,"6/23/11",1154,64,707
"3","MES","13:15 - 13:30",40710,"6/16/11",60,54,25
"4","NDMC","12:30 - 12:45",40700,"6/6/11",363,51,163
"5","NDPL","15:00 - 15:15",40757,"8/2/11",1374,61,829
"6","Total","15:45 - 16:00",40757,"8/2/11",4875,64,2956
