"","discom","timeslots","days","date","mW","timepoint","Average"
"1","BRPL","09:45 - 10:00",41283,"1/9/13",1773,40,1007
"2","BYPL","10:30 - 10:45",41280,"1/6/13",968,43,561
"3","MES","09:00 - 09:15",41282,"1/8/13",56,37,29
"4","NDMC","12:30 - 12:45",41340,"3/7/13",240,51,137
"5","NDPL","11:15 - 11:30",41282,"1/8/13",1201,46,732
"6","Total","09:45 - 10:00",41283,"1/9/13",4159,40,2466
