Name,Description,MoneyRaised,Death
Heart Disease,Jump Rope for Heart,54.1,596577
Suicide,Out of Darkness Overnight Walk,3.2,39518
Breast Cancer,Komen Race for the Cure,257.85,41374
Diabetes,Step Out: Walk to Stop Diabetes,4.2,73831
HIV/AIDS,Ride to End Aids,14,7683
Prostate Cancer,Movember,147,21176
Motor Neuron Disease (including ALS),ALS Ice Bucket Challenge,22.9,6849
Chronic Obstructive Pulmonary Disease,Fight for Air Climb,7,142942
