date	Developed	Developing
20050101	82.1	22.9
20060101	92.9	30.1
20070101	102	39.1
20080101	107.8	49
20090101	112.1	58.2
20100101	113.3	68.5
20110101	113.5	77.4
20120101	116	82.1
20130101	119.2	87.6
20140101	120.8	90.2
