date	Developed	Developing
20050101	12.3	1.3
20060101	15.5	1.8
20070101	18	2.3
20080101	20.4	2.9
20090101	22	3.5
20100101	23.5	4.2
20110101	24.6	4.9
20120101	25.7	5.4
20130101	26.6	5.8
20140101	27.5	6.1
