,year,pure,more,less,none,unknown
1,1999,35,4,1,29,0
2,2000,152,8,7,166,0
3,2001,165,11,22,132,2
4,2002,98,14,40,143,6
5,2003,58,8,18,69,2
6,2004,16,23,29,88,3
7,2005,39,23,24,49,1
8,2006,8,5,15,7,11
9,2007,10,5,12,25,16
10,2008,7,4,7,21,7
11,2009,10,12,8,85,18
12,2010,43,26,6,67,5
13,2011,37,30,22,113,18
14,2012,39,21,11,120,52
15,2013,59,17,6,103,47
16,2014,69,15,7,104,20
